"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 06 06:24:17 UTC 2026","Fri Mar 06 06:24:38 UTC 2026","21412","","provider-portal/settings/unity-users.spec.ts","Settings - Unity Users Tab","","","should delete a Unity User and verify removal from list",""
"passed","Fri Mar 06 06:20:19 UTC 2026","Fri Mar 06 06:21:31 UTC 2026","71616","","provider-portal/monitoring/monitoring-03-alerts.spec.ts","Monitoring - Alerts","","","should complete alert resolution workflow - Unresolved to Resolved",""
"passed","Fri Mar 06 06:20:27 UTC 2026","Fri Mar 06 06:20:35 UTC 2026","7416","","provider-portal/settings/unity-users.spec.ts","Settings - Unity Users Tab","","","should navigate to Settings and land on Unity Users tab",""
"passed","Fri Mar 06 06:27:40 UTC 2026","Fri Mar 06 06:27:51 UTC 2026","10968","","provider-portal/monitoring/monitoring-02-data.spec.ts","Monitoring - Data Review","","","should display pagination in Data list",""
"passed","Fri Mar 06 06:22:22 UTC 2026","Fri Mar 06 06:22:34 UTC 2026","12178","","provider-portal/monitoring/monitoring-03-alerts.spec.ts","Monitoring - Alerts","","","should display unresolved alerts in red color",""
"passed","Fri Mar 06 06:40:33 UTC 2026","Fri Mar 06 06:40:41 UTC 2026","7755","","provider-portal/global-features/search.spec.ts","Global Search","","","should find patient when searching by first 3 digits of phone number",""
"passed","Fri Mar 06 06:29:11 UTC 2026","Fri Mar 06 06:29:45 UTC 2026","34492","","provider-portal/library/care-plan.spec.ts","Care Plan Flow","","","should edit an existing care plan and verify changes",""
"passed","Fri Mar 06 06:28:24 UTC 2026","Fri Mar 06 06:28:36 UTC 2026","11667","","provider-portal/settings/profile.spec.ts","Settings - Profile Tab","","","should validate new password requirements",""
"passed","Fri Mar 06 06:20:51 UTC 2026","Fri Mar 06 06:21:00 UTC 2026","8746","","provider-portal/settings/unity-users.spec.ts","Settings - Unity Users Tab","","","should show no results for non-existent user search",""
"failed","Fri Mar 06 06:25:20 UTC 2026","Fri Mar 06 06:25:26 UTC 2026","6272","","provider-portal/care-team-worklist/interaction-week1.spec.ts","Interaction - Week 1 RTM","","","should complete Exercise Program activity with manual time entry logged",""
"passed","Fri Mar 06 06:26:20 UTC 2026","Fri Mar 06 06:26:41 UTC 2026","21078","","provider-portal/monitoring/monitoring-03-alerts.spec.ts","Monitoring - Alerts","","","should update resolved status in Patient 360 Alerts section",""
"passed","Fri Mar 06 06:27:19 UTC 2026","Fri Mar 06 06:27:27 UTC 2026","8471","","provider-portal/settings/unity-users.spec.ts","Settings - Unity Users Tab","","","should be able to determine total provider count from user list",""
"passed","Fri Mar 06 06:20:34 UTC 2026","Fri Mar 06 06:21:02 UTC 2026","27199","","provider-portal/enrollment/Add-Enrollments.spec.ts","Provider Portal - Add Enrollment Tests","","","Verify Cancel button closes Add Enrollment form and navigates back to Enrollment List",""
"skipped","Fri Mar 06 06:25:26 UTC 2026","Fri Mar 06 06:25:26 UTC 2026","0","","provider-portal/care-team-worklist/interaction-week1.spec.ts","Interaction - Week 1 RTM","","","should verify patient progresses to Week 2 after completing all Week 1 activities",""
"passed","Fri Mar 06 06:22:23 UTC 2026","Fri Mar 06 06:22:40 UTC 2026","16204","","provider-portal/library/assessment.spec.ts","Assessment Flow","","","should view assessment details with all questions and options",""
"skipped","Fri Mar 06 06:24:08 UTC 2026","Fri Mar 06 06:24:24 UTC 2026","16299","","provider-portal/care-team-worklist/interaction-week4.spec.ts","Interaction - Week 4 RTM","","","should complete Patient Summary activity with time entry",""
"passed","Fri Mar 06 06:23:49 UTC 2026","Fri Mar 06 06:24:01 UTC 2026","11998","","provider-portal/monitoring/monitoring-01-no-data.spec.ts","Monitoring - No Data","","","should initiate call to patient from No Data page",""
"skipped","Fri Mar 06 06:22:46 UTC 2026","Fri Mar 06 06:23:02 UTC 2026","16324","","provider-portal/care-team-worklist/interaction-week3.spec.ts","Interaction - Week 3 RTM","","","should send App chat to patient from Week 3",""
"passed","Fri Mar 06 06:24:42 UTC 2026","Fri Mar 06 06:25:07 UTC 2026","25089","","provider-portal/monitoring/monitoring-02-data.spec.ts","Monitoring - Data Review","","","should complete data review workflow - Unreviewed to Reviewed",""
"passed","Fri Mar 06 06:29:51 UTC 2026","Fri Mar 06 06:31:15 UTC 2026","84736","","provider-portal/enrollment/Modify-EnrollmentFlow.spec.ts","Provider Portal - Modify Enrollment Tests","","","Verify modify enrollment - Update Care Manager, Provider, ICD reflected in Patient 360",""
"failed","Fri Mar 06 06:28:54 UTC 2026","Fri Mar 06 06:29:12 UTC 2026","17149","","provider-portal/enrollment/Modify-EnrollmentFlow.spec.ts","Provider Portal - Modify Enrollment Tests","","","Verify update enrollment - Update ICD codes, changes reflected in Enrollment List",""
"passed","Fri Mar 06 06:25:44 UTC 2026","Fri Mar 06 06:25:57 UTC 2026","13090","","provider-portal/monitoring/monitoring-03-alerts.spec.ts","Monitoring - Alerts","","","should resolve alert from Action button",""
"passed","Fri Mar 06 06:23:55 UTC 2026","Fri Mar 06 06:24:17 UTC 2026","22347","","provider-portal/settings/unity-users.spec.ts","Settings - Unity Users Tab","","","should validate mandatory fields on Edit form",""
"passed","Fri Mar 06 06:22:07 UTC 2026","Fri Mar 06 06:22:30 UTC 2026","23421","","provider-portal/settings/unity-users.spec.ts","Settings - Unity Users Tab","","","should handle duplicate username or email on Add",""
"passed","Fri Mar 06 06:25:37 UTC 2026","Fri Mar 06 06:25:51 UTC 2026","14679","","provider-portal/monitoring/monitoring-02-data.spec.ts","Monitoring - Data Review","","","should display previous notes in View Review Note",""
"skipped","Fri Mar 06 06:20:34 UTC 2026","Fri Mar 06 06:20:50 UTC 2026","16374","","provider-portal/care-team-worklist/interaction-week3.spec.ts","Interaction - Week 3 RTM","","","should complete Reach Out activity for Week 3 with time entry",""
"passed","Fri Mar 06 06:23:25 UTC 2026","Fri Mar 06 06:23:37 UTC 2026","12164","","provider-portal/monitoring/monitoring-01-no-data.spec.ts","Monitoring - No Data","","","should send SMS to patient and verify count increments",""
"passed","Fri Mar 06 06:22:40 UTC 2026","Fri Mar 06 06:23:00 UTC 2026","20327","","provider-portal/library/assessment.spec.ts","Assessment Flow","","","should cancel assessment edit and verify original data remains",""
"passed","Fri Mar 06 06:30:14 UTC 2026","Fri Mar 06 06:30:24 UTC 2026","10609","","provider-portal/library/care-plan.spec.ts","Care Plan Flow","","","should cancel care plan deletion and verify it remains",""
"passed","Fri Mar 06 06:31:10 UTC 2026","Fri Mar 06 06:31:32 UTC 2026","22143","","provider-portal/library/care-plan.spec.ts","Care Plan Flow","","","should only show selected sections in the wizard",""
"skipped","Fri Mar 06 06:26:19 UTC 2026","Fri Mar 06 06:26:35 UTC 2026","16291","","provider-portal/care-team-worklist/interaction-week4.spec.ts","Interaction - Week 4 RTM","","","should filter Week 4 list by care manager",""
"passed","Fri Mar 06 06:23:56 UTC 2026","Fri Mar 06 06:24:09 UTC 2026","12599","","provider-portal/care-team-worklist/interaction-bulk.spec.ts","Interaction - Bulk Operations RTM","","","should send bulk Reach Out text message to selected patients",""
"skipped","Fri Mar 06 06:25:26 UTC 2026","Fri Mar 06 06:25:26 UTC 2026","0","","provider-portal/care-team-worklist/interaction-week1.spec.ts","Interaction - Week 1 RTM","","","should verify multiple time entries for same activity are cumulative",""
"passed","Fri Mar 06 06:26:41 UTC 2026","Fri Mar 06 06:27:03 UTC 2026","22451","","provider-portal/monitoring/monitoring-03-alerts.spec.ts","Monitoring - Alerts","","","should display previous resolution notes in View Resolved Note",""
"passed","Fri Mar 06 06:26:12 UTC 2026","Fri Mar 06 06:28:49 UTC 2026","156276","","provider-portal/enrollment/EnrollmentFormVerification.spec.ts","","","","Verify Care Manager assignment and multi-diagnoses selection in Enrollment form",""
"failed","Fri Mar 06 06:20:21 UTC 2026","Fri Mar 06 06:20:26 UTC 2026","5083","","provider-portal/library/template-crud.spec.ts","Template CRUD Flow","","","should verify Send Consent checkbox reveals Consent Forms dropdown",""
"skipped","Fri Mar 06 06:25:26 UTC 2026","Fri Mar 06 06:25:26 UTC 2026","1","","provider-portal/care-team-worklist/interaction-week1.spec.ts","Interaction - Week 1 RTM","","","should verify patient remains in Week 1 with partial activities",""
"skipped","Fri Mar 06 06:23:51 UTC 2026","Fri Mar 06 06:24:08 UTC 2026","16482","","provider-portal/care-team-worklist/interaction-week4.spec.ts","Interaction - Week 4 RTM","","","should complete Reach Out activity for Week 4 with time entry",""
"passed","Fri Mar 06 06:25:19 UTC 2026","Fri Mar 06 06:25:40 UTC 2026","21316","","provider-portal/settings/unity-users.spec.ts","Settings - Unity Users Tab","","","should reactivate a user by toggling status to Active",""
"failed","Fri Mar 06 06:27:04 UTC 2026","Fri Mar 06 06:27:09 UTC 2026","5230","","provider-portal/patient-wallet/patient-chart.spec.ts","Provider Portal Patient Chart","","","should navigate to patient chart and verify patient name",""
"skipped","Fri Mar 06 06:24:24 UTC 2026","Fri Mar 06 06:24:40 UTC 2026","16303","","provider-portal/care-team-worklist/interaction-week4.spec.ts","Interaction - Week 4 RTM","","","should complete Won Challenge activity with time entry",""
"passed","Fri Mar 06 06:26:33 UTC 2026","Fri Mar 06 06:26:53 UTC 2026","19442","","provider-portal/monitoring/monitoring-02-data.spec.ts","Monitoring - Data Review","","","should send Text message to patient from Data section",""
"passed","Fri Mar 06 06:22:16 UTC 2026","Fri Mar 06 06:22:25 UTC 2026","8863","","provider-portal/library/template-crud.spec.ts","Template CRUD Flow","","","should handle special characters in template name and content",""
"passed","Fri Mar 06 06:22:41 UTC 2026","Fri Mar 06 06:22:53 UTC 2026","11727","","provider-portal/settings/unity-users.spec.ts","Settings - Unity Users Tab","","","should open user profile from View Profile action menu",""
"failed","Fri Mar 06 06:27:37 UTC 2026","Fri Mar 06 06:27:42 UTC 2026","5248","","provider-portal/patient-wallet/patient-chat.spec.ts","Provider Portal Patient Chat","","","should navigate to patient chart and send a chat message",""
"skipped","Fri Mar 06 06:24:40 UTC 2026","Fri Mar 06 06:24:57 UTC 2026","16529","","provider-portal/care-team-worklist/interaction-week4.spec.ts","Interaction - Week 4 RTM","","","should complete Won Bingo activity with time entry",""
"passed","Fri Mar 06 06:21:28 UTC 2026","Fri Mar 06 06:21:41 UTC 2026","12882","","provider-portal/library/template-crud.spec.ts","Template CRUD Flow","","","should cancel template deletion and verify template still exists",""
"skipped","Fri Mar 06 06:27:11 UTC 2026","Fri Mar 06 06:27:11 UTC 2026","0","","provider-portal/care-team-worklist/interaction.spec.ts","Interaction - RTM (Dynamic Week)","","","should verify all activities completed for detected week",""
"skipped","Fri Mar 06 06:21:07 UTC 2026","Fri Mar 06 06:21:23 UTC 2026","16276","","provider-portal/care-team-worklist/interaction-week3.spec.ts","Interaction - Week 3 RTM","","","should complete Follow Up Bingo activity with time entry",""
"passed","Fri Mar 06 06:20:42 UTC 2026","Fri Mar 06 06:20:51 UTC 2026","9169","","provider-portal/settings/unity-users.spec.ts","Settings - Unity Users Tab","","","should search for a user by name and show filtered results",""
"passed","Fri Mar 06 06:21:11 UTC 2026","Fri Mar 06 06:21:25 UTC 2026","14097","","provider-portal/settings/unity-users.spec.ts","Settings - Unity Users Tab","","","should add a new Unity User with mandatory fields",""
"passed","Fri Mar 06 06:40:18 UTC 2026","Fri Mar 06 06:40:25 UTC 2026","7849","","provider-portal/global-features/search.spec.ts","Global Search","","","should find patient when searching by full name in lastname-firstname format",""
"passed","Fri Mar 06 06:26:53 UTC 2026","Fri Mar 06 06:27:12 UTC 2026","19332","","provider-portal/monitoring/monitoring-02-data.spec.ts","Monitoring - Data Review","","","should send App chat to patient from Data section",""
"skipped","Fri Mar 06 06:21:40 UTC 2026","Fri Mar 06 06:21:56 UTC 2026","16424","","provider-portal/care-team-worklist/interaction-week3.spec.ts","Interaction - Week 3 RTM","","","should complete Follow Up Meal Plan activity with time entry",""
"skipped","Fri Mar 06 06:25:13 UTC 2026","Fri Mar 06 06:25:29 UTC 2026","16280","","provider-portal/care-team-worklist/interaction-week4.spec.ts","Interaction - Week 4 RTM","","","should verify multiple time entries are cumulative in Week 4",""
