"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 05 14:00:54 UTC 2026","Thu Mar 05 14:01:02 UTC 2026","7159","","provider-portal/global-features/search.spec.ts","Global Search","","","should display No Option message when searching with invalid DOB",""
"passed","Thu Mar 05 13:50:43 UTC 2026","Thu Mar 05 13:50:54 UTC 2026","10268","","provider-portal/monitoring/monitoring-03-alerts.spec.ts","Monitoring - Alerts","","","should display pagination in Alerts list",""
"passed","Tue May 06 11:46:42 UTC 2025","Tue May 06 11:46:48 UTC 2025","6300","","provider-portal\patient-chart.spec.ts","Provider Portal Patient Chart","","","should navigate to patient chart and verify patient name",""
"skipped","Thu Mar 05 13:57:54 UTC 2026","Thu Mar 05 13:57:54 UTC 2026","1","","provider-portal/library/care-plan.spec.ts","Care Plan Flow","","","should archive a care plan and verify Show Archived toggle",""
"passed","Thu Mar 05 13:50:17 UTC 2026","Thu Mar 05 13:50:37 UTC 2026","20194","","provider-portal/library/assessment.spec.ts","Assessment Flow","","","should cancel assessment edit and verify original data remains",""
"passed","Thu Mar 05 13:53:53 UTC 2026","Thu Mar 05 13:55:03 UTC 2026","69813","","provider-portal/library/care-plan.spec.ts","Care Plan Flow","","","should create a care plan with all sections and verify it in the list",""
"passed","Thu Mar 05 13:48:21 UTC 2026","Thu Mar 05 13:48:35 UTC 2026","14102","","provider-portal/library/template-crud.spec.ts","Template CRUD Flow","","","should edit template name, type, and content and verify changes persist",""
"failed","Thu Mar 05 13:54:01 UTC 2026","Thu Mar 05 13:54:12 UTC 2026","10915","","provider-portal/monitoring/monitoring-02-data.spec.ts","Monitoring - Data Review","","","should search for a patient by name in Data list",""
"passed","Thu Mar 05 13:49:42 UTC 2026","Thu Mar 05 13:50:01 UTC 2026","18949","","provider-portal/library/assessment.spec.ts","Assessment Flow","","","should delete assessment with confirmation",""
"passed","Thu Mar 05 13:57:22 UTC 2026","Thu Mar 05 13:57:34 UTC 2026","12757","","provider-portal/settings/profile.spec.ts","Settings - Profile Tab","","","should edit profile and verify changes reflect on profile page",""
"passed","Thu Mar 05 13:53:04 UTC 2026","Thu Mar 05 13:53:26 UTC 2026","22597","","provider-portal/settings/unity-users.spec.ts","Settings - Unity Users Tab","","","should prevent inactive provider from logging in",""
"skipped","Thu Mar 05 13:56:21 UTC 2026","Thu Mar 05 13:56:21 UTC 2026","0","","provider-portal/care-team-worklist/interaction-week1.spec.ts","Interaction - Week 1 RTM","","","should complete Meal Plan activity with manual time entry logged",""
"passed","Thu Mar 05 13:48:01 UTC 2026","Thu Mar 05 13:49:11 UTC 2026","70320","","provider-portal/monitoring/monitoring-03-alerts.spec.ts","Monitoring - Alerts","","","should complete alert resolution workflow - Unresolved to Resolved",""
"passed","Thu Mar 05 13:50:03 UTC 2026","Thu Mar 05 13:50:13 UTC 2026","10349","","provider-portal/library/template-crud.spec.ts","Template CRUD Flow","","","should handle long content in template",""
"passed","Thu Mar 05 13:50:47 UTC 2026","Thu Mar 05 13:51:02 UTC 2026","15193","","provider-portal/enrollment/EnrollmentFilterScenarios.spec.ts","Enrollment Filter Scenarios","","","3. Verify filter by Program (RPM/RTM/CCM) - Patients filtered correctly by program type",""
"skipped","Thu Mar 05 13:47:57 UTC 2026","Thu Mar 05 13:48:14 UTC 2026","16707","","provider-portal/care-team-worklist/interaction-week3.spec.ts","Interaction - Week 3 RTM","","","should verify patient is listed in Week 3",""
"skipped","Thu Mar 05 13:50:26 UTC 2026","Thu Mar 05 13:50:43 UTC 2026","17101","","provider-portal/care-team-worklist/interaction-week3.spec.ts","Interaction - Week 3 RTM","","","should send App chat to patient from Week 3",""
"failed","Thu Mar 05 13:56:51 UTC 2026","Thu Mar 05 13:57:08 UTC 2026","16854","","provider-portal/enrollment/Modify-EnrollmentFlow.spec.ts","Provider Portal - Modify Enrollment Tests","","","Verify modify enrollment - Change status from NEW to ACTIVE, changes reflected in Worklist and Enrollment List",""
"passed","Thu Mar 05 13:50:28 UTC 2026","Thu Mar 05 13:50:43 UTC 2026","14883","","provider-portal/monitoring/monitoring-03-alerts.spec.ts","Monitoring - Alerts","","","should filter Alerts list by care manager",""
"skipped","Thu Mar 05 13:50:09 UTC 2026","Thu Mar 05 13:50:25 UTC 2026","16354","","provider-portal/care-team-worklist/interaction-week3.spec.ts","Interaction - Week 3 RTM","","","should send Text message to patient from Week 3",""
"passed","Thu Mar 05 14:00:47 UTC 2026","Thu Mar 05 14:00:54 UTC 2026","7027","","provider-portal/global-features/search.spec.ts","Global Search","","","should find patient when searching by full phone number",""
"passed","Thu Mar 05 13:49:55 UTC 2026","Thu Mar 05 13:50:03 UTC 2026","8369","","provider-portal/library/template-crud.spec.ts","Template CRUD Flow","","","should handle special characters in template name and content",""
"passed","Tue May 06 11:46:42 UTC 2025","Tue May 06 11:46:51 UTC 2025","8478","","provider-portal\patient-chat.spec.ts","Provider Portal Patient Chat","","","should navigate to patient chart and send a chat message",""
"skipped","Thu Mar 05 13:57:54 UTC 2026","Thu Mar 05 13:57:54 UTC 2026","0","","provider-portal/library/care-plan.spec.ts","Care Plan Flow","","","should navigate forward and backward with data retention",""
"passed","Thu Mar 05 13:47:53 UTC 2026","Thu Mar 05 13:48:08 UTC 2026","14934","","admin-portal/admin-users.spec.ts","Admin Users Management","","","should add and delete an admin user",""
"passed","Thu Mar 05 13:48:25 UTC 2026","Thu Mar 05 13:48:48 UTC 2026","22691","","provider-portal/library/assessment.spec.ts","Assessment Flow","","","should validate each question type in created assessment",""
"skipped","Thu Mar 05 13:56:21 UTC 2026","Thu Mar 05 13:56:21 UTC 2026","0","","provider-portal/care-team-worklist/interaction-week1.spec.ts","Interaction - Week 1 RTM","","","should send App chat to patient from Week 1",""
"passed","Thu Mar 05 13:48:02 UTC 2026","Thu Mar 05 13:48:25 UTC 2026","22846","","provider-portal/library/assessment.spec.ts","Assessment Flow","","","should create assessment with all question types, preview, finish and verify in list",""
"passed","Thu Mar 05 13:51:34 UTC 2026","Thu Mar 05 13:51:54 UTC 2026","19128","","provider-portal/monitoring/monitoring-03-alerts.spec.ts","Monitoring - Alerts","","","should escalate alert to provider from Action button",""
"skipped","Thu Mar 05 13:57:54 UTC 2026","Thu Mar 05 13:57:54 UTC 2026","0","","provider-portal/library/care-plan.spec.ts","Care Plan Flow","","","should open care plan in View Only mode with disabled fields",""
"passed","Thu Mar 05 14:00:33 UTC 2026","Thu Mar 05 14:00:40 UTC 2026","7486","","provider-portal/global-features/search.spec.ts","Global Search","","","should display patient list when searching by date of birth",""
"passed","Thu Mar 05 13:48:43 UTC 2026","Thu Mar 05 13:48:56 UTC 2026","13260","","provider-portal/settings/unity-users.spec.ts","Settings - Unity Users Tab","","","should add a new Unity User with mandatory fields",""
"skipped","Thu Mar 05 13:57:54 UTC 2026","Thu Mar 05 13:57:54 UTC 2026","0","","provider-portal/library/care-plan.spec.ts","Care Plan Flow","","","should only show selected sections in the wizard",""
"passed","Tue May 06 11:46:35 UTC 2025","Tue May 06 11:46:38 UTC 2025","2165","","example.spec.ts","","","","example test",""
