"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 20 07:44:04 UTC 2026","Fri Feb 20 07:44:28 UTC 2026","24439","","provider-portal/library/care-plan.spec.ts","Care Plan Flow","","","should save care plan as draft and resume editing",""
"passed","Fri Feb 20 07:48:47 UTC 2026","Fri Feb 20 07:49:17 UTC 2026","29897","","provider-portal/library/care-plan.spec.ts","Care Plan Flow","","","should save as draft from edit mode",""
"passed","Fri Feb 20 07:47:56 UTC 2026","Fri Feb 20 07:48:07 UTC 2026","11050","","provider-portal/library/care-plan.spec.ts","Care Plan Flow","","","should open care plan in View Only mode with disabled fields",""
"passed","Fri Feb 20 07:42:14 UTC 2026","Fri Feb 20 07:42:42 UTC 2026","27242","","provider-portal/patient-wallet/patient-chart.spec.ts","Provider Portal Patient Chart","","","should add vital, review it in work list and verify reviewed status",""
"passed","Tue May 06 11:46:35 UTC 2025","Tue May 06 11:46:38 UTC 2025","2165","","example.spec.ts","","","","example test",""
"skipped","Fri Feb 20 07:45:57 UTC 2026","Fri Feb 20 07:45:57 UTC 2026","3","","provider-portal/library/assessment.spec.ts","Assessment Flow","","","should filter to show only favorite assessments",""
"passed","Fri Feb 20 07:42:38 UTC 2026","Fri Feb 20 07:42:56 UTC 2026","17681","","provider-portal/library/assessment.spec.ts","Assessment Flow","","","should assign assessment to patient and verify in patient chart",""
"passed","Fri Feb 20 07:44:55 UTC 2026","Fri Feb 20 07:45:16 UTC 2026","20406","","provider-portal/library/assessment.spec.ts","Assessment Flow","","","should search and filter assessments by title",""
"passed","Fri Feb 20 07:42:02 UTC 2026","Fri Feb 20 07:42:18 UTC 2026","15628","","admin-portal/admin-users.spec.ts","Admin Users Management","","","should add and delete an admin user",""
"passed","Tue May 06 11:46:42 UTC 2025","Tue May 06 11:46:48 UTC 2025","6300","","provider-portal\patient-chart.spec.ts","Provider Portal Patient Chart","","","should navigate to patient chart and verify patient name",""
"passed","Fri Feb 20 07:42:42 UTC 2026","Fri Feb 20 07:42:49 UTC 2026","7257","","provider-portal/patient-wallet/patient-chat.spec.ts","Provider Portal Patient Chat","","","should navigate to patient chart and send a chat message",""
"failed","Mon Jan 05 13:37:17 UTC 2026","Mon Jan 05 13:37:39 UTC 2026","22349","","provider-portal\template-crud.spec.ts","Template CRUD Flow","","","should perform complete CRUD operations on template",""
"passed","Fri Feb 20 07:42:22 UTC 2026","Fri Feb 20 07:42:23 UTC 2026","1629","","admin-portal/login.spec.ts","Admin Portal Login Tests","","","Failed login with invalid credentials",""
"passed","Fri Feb 20 07:42:08 UTC 2026","Fri Feb 20 07:42:14 UTC 2026","6687","","provider-portal/patient-wallet/patient-chart.spec.ts","Provider Portal Patient Chart","","","should navigate to patient chart and verify patient name",""
"passed","Fri Feb 20 07:41:51 UTC 2026","Fri Feb 20 07:42:14 UTC 2026","22405","","provider-portal/library/assessment.spec.ts","Assessment Flow","","","should create assessment with all question types, preview, finish and verify in list",""
"passed","Fri Feb 20 07:42:25 UTC 2026","Fri Feb 20 07:42:40 UTC 2026","14794","","provider-portal/care-team-worklist/favorite-service.spec.ts","Favorite Service Update & Persistence","","","should update favorite service and verify after re-login",""
"passed","Fri Feb 20 07:45:00 UTC 2026","Fri Feb 20 07:45:27 UTC 2026","27559","","provider-portal/library/care-plan.spec.ts","Care Plan Flow","","","should delete a care plan with confirmation",""
"passed","Fri Feb 20 07:43:09 UTC 2026","Fri Feb 20 07:43:29 UTC 2026","20495","","provider-portal/library/assessment.spec.ts","Assessment Flow","","","should edit assessment title and verify changes",""
"passed","Fri Feb 20 07:41:42 UTC 2026","Fri Feb 20 07:42:51 UTC 2026","69354","","provider-portal/library/care-plan.spec.ts","Care Plan Flow","","","should create a care plan with all sections and verify it in the list",""
"passed","Fri Feb 20 07:42:23 UTC 2026","Fri Feb 20 07:42:25 UTC 2026","1615","","admin-portal/login.spec.ts","Admin Portal Login Tests","","","Login with empty credentials",""
