"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 20 11:01:33 UTC 2026","Fri Feb 20 11:01:44 UTC 2026","10137","","provider-portal/library/template-crud.spec.ts","Template CRUD Flow","","","should handle long content in template",""
"passed","Fri Feb 20 11:02:27 UTC 2026","Fri Feb 20 11:02:46 UTC 2026","19382","","provider-portal/library/assessment.spec.ts","Assessment Flow","","","should cancel assessment edit and verify original data remains",""
"passed","Tue May 06 11:46:42 UTC 2025","Tue May 06 11:46:51 UTC 2025","8478","","provider-portal\patient-chat.spec.ts","Provider Portal Patient Chat","","","should navigate to patient chart and send a chat message",""
"passed","Fri Feb 20 11:00:47 UTC 2026","Fri Feb 20 11:00:59 UTC 2026","12708","","provider-portal/patient-wallet/vitals.spec.ts","Provider Portal Vitals","","","Add Heart Rate vital and verify latest reading",""
"passed","Fri Feb 20 10:59:56 UTC 2026","Fri Feb 20 11:00:02 UTC 2026","6953","","provider-portal/patient-wallet/patient-chart.spec.ts","Provider Portal Patient Chart","","","should navigate to patient chart and verify patient name",""
"passed","Fri Feb 20 10:59:37 UTC 2026","Fri Feb 20 10:59:46 UTC 2026","8516","","provider-portal/library/template-crud.spec.ts","Template CRUD Flow","","","should create template and verify it displays in template list",""
"passed","Fri Feb 20 10:59:47 UTC 2026","Fri Feb 20 10:59:48 UTC 2026","1268","","admin-portal/login.spec.ts","Admin Portal Login Tests","","","Failed login with invalid credentials",""
"passed","Fri Feb 20 11:06:50 UTC 2026","Fri Feb 20 11:07:19 UTC 2026","29544","","provider-portal/library/care-plan.spec.ts","Care Plan Flow","","","should save as draft from edit mode",""
"passed","Fri Feb 20 11:01:17 UTC 2026","Fri Feb 20 11:02:09 UTC 2026","51714","","provider-portal/library/care-plan.spec.ts","Care Plan Flow","","","should create care plan covering all question types",""
"passed","Fri Feb 20 11:01:04 UTC 2026","Fri Feb 20 11:01:21 UTC 2026","17213","","provider-portal/library/assessment.spec.ts","Assessment Flow","","","should assign assessment to patient and verify in patient chart",""
