[STEP] 2026-05-13T07:14:57.997Z - Setup: login → patient chart → CCM → Care Team
[STEP] 2026-05-13T07:14:58.545Z - Attempting to login to provider portal
[STEP] 2026-05-13T07:14:58.545Z - Navigating to provider portal login page
[INFO] 2026-05-13T07:14:58.652Z - Successfully navigated to provider portal login page
[INFO] 2026-05-13T07:15:04.888Z - Login attempt completed
[STEP] 2026-05-13T07:15:06.420Z - Opening patient chart from global search for: Automation
[INFO] 2026-05-13T07:15:08.712Z - Patient chart opened from global search for: Automation
[INFO] 2026-05-13T07:15:09.099Z - Setup ✓: on patient-chart CCM → Care Team
[INFO] 2026-05-13T07:15:09.144Z - Scenario 1 ✓: Care Team list shows all required columns
[INFO] 2026-05-13T07:15:09.904Z - Scenario 2 attempt 1: "Annamae Quitzon" already on team — retrying
[INFO] 2026-05-13T07:15:10.752Z - Scenario 2 attempt 2: "Annamae Quitzon" already on team — retrying
[INFO] 2026-05-13T07:15:11.544Z - Scenario 2 attempt 3: "Annamae Quitzon" already on team — retrying
[INFO] 2026-05-13T07:15:12.311Z - Scenario 2 attempt 4: "Annamae Quitzon" already on team — retrying
[INFO] 2026-05-13T07:15:13.062Z - Scenario 2 attempt 5: "Annamae Quitzon" already on team — retrying
[INFO] 2026-05-13T07:15:13.848Z - Scenario 2 attempt 6: "Annamae Quitzon" already on team — retrying
[INFO] 2026-05-13T07:15:14.735Z - Scenario 2 attempt 7: "Annamae Quitzon" already on team — retrying
[INFO] 2026-05-13T07:15:15.683Z - Scenario 2 attempt 8: "Annamae Quitzon" already on team — retrying
[INFO] 2026-05-13T07:15:16.450Z - Scenario 2 attempt 9: "Annamae Quitzon" already on team — retrying
[INFO] 2026-05-13T07:15:17.196Z - Scenario 2 attempt 10: "Annamae Quitzon" already on team — retrying
