[STEP] 2026-05-13T07:14:37.654Z - Setup: login → patient chart → CCM → Care Team
[STEP] 2026-05-13T07:14:38.573Z - Attempting to login to provider portal
[STEP] 2026-05-13T07:14:38.573Z - Navigating to provider portal login page
[INFO] 2026-05-13T07:14:38.686Z - Successfully navigated to provider portal login page
[INFO] 2026-05-13T07:14:43.420Z - Login attempt completed
[STEP] 2026-05-13T07:14:44.954Z - Opening patient chart from global search for: Automation
[INFO] 2026-05-13T07:14:47.780Z - Patient chart opened from global search for: Automation
[INFO] 2026-05-13T07:14:48.191Z - Setup ✓: on patient-chart CCM → Care Team
[INFO] 2026-05-13T07:14:48.222Z - Scenario 1 ✓: Care Team list shows all required columns
[INFO] 2026-05-13T07:14:48.977Z - Scenario 2 attempt 1: "Annamae Quitzon" already on team — retrying
[INFO] 2026-05-13T07:14:49.791Z - Scenario 2 attempt 2: "Annamae Quitzon" already on team — retrying
[INFO] 2026-05-13T07:14:50.616Z - Scenario 2 attempt 3: "Annamae Quitzon" already on team — retrying
[INFO] 2026-05-13T07:14:51.413Z - Scenario 2 attempt 4: "Annamae Quitzon" already on team — retrying
[INFO] 2026-05-13T07:14:52.181Z - Scenario 2 attempt 5: "Annamae Quitzon" already on team — retrying
[INFO] 2026-05-13T07:14:52.979Z - Scenario 2 attempt 6: "Annamae Quitzon" already on team — retrying
[INFO] 2026-05-13T07:14:54.350Z - Scenario 2 attempt 7: "Annamae Quitzon" already on team — retrying
[INFO] 2026-05-13T07:14:55.143Z - Scenario 2 attempt 8: "Annamae Quitzon" already on team — retrying
[INFO] 2026-05-13T07:14:55.955Z - Scenario 2 attempt 9: "Annamae Quitzon" already on team — retrying
[INFO] 2026-05-13T07:14:56.710Z - Scenario 2 attempt 10: "Annamae Quitzon" already on team — retrying
