"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Aug 24 08:35:53 UTC 2026","Mon Aug 24 08:36:36 UTC 2026","43177","","provider-portal/care-team-worklist/interaction-week3.spec.ts","Interaction - Week 3 RTM","","","should filter Week 3 list by care manager",""
"passed","Mon Aug 24 08:29:22 UTC 2026","Mon Aug 24 08:31:45 UTC 2026","143598","","provider-portal/provider-worklist/alert-resolved-color.spec.ts","Resolved alert is green in Care Team Worklist (AUT_PW_RES_003)","","","Resolved status badge renders in a green-dominant color",""
"failed","Mon Aug 24 08:26:52 UTC 2026","Mon Aug 24 08:27:27 UTC 2026","35628","","provider-portal/enrollment-billing/rpm-billing-workflow.spec.ts","Enrollment Billing — RPM Workflow","","","2. End-to-end report — single patient PDF",""
"failed","Mon Aug 24 08:33:05 UTC 2026","Mon Aug 24 08:35:08 UTC 2026","122768","","provider-portal/documents/documents-full-workflow.spec.ts","Document - Count Update on Assign","","","AUT_DOC_019 - Verify document count increases after upload and assignment",""
"passed","Mon Aug 24 08:39:55 UTC 2026","Mon Aug 24 08:40:24 UTC 2026","29016","","provider-portal/patient-wallet/patient-monitoring.spec.ts","Patient Wallet - Patient Monitoring","","","should display timer with initial value",""
"passed","Mon Aug 24 08:33:38 UTC 2026","Mon Aug 24 08:34:56 UTC 2026","78690","","provider-portal/patient-wallet/patient-monitoring.spec.ts","Patient Wallet - Patient Monitoring","","","should open Patient Wallet with Monitoring tab as default",""
"passed","Mon Aug 24 08:44:45 UTC 2026","Mon Aug 24 08:45:22 UTC 2026","36377","","provider-portal/library/care-plan.spec.ts","Care Plan Flow","","","should add 5+ questions with different types to a single section",""
"failed","Mon Aug 24 08:35:28 UTC 2026","Mon Aug 24 08:35:39 UTC 2026","11490","","provider-portal/settings/profile.spec.ts","Settings - Profile Tab","","","should display all profile fields correctly",""
"passed","Mon Aug 24 08:37:24 UTC 2026","Mon Aug 24 08:37:41 UTC 2026","17072","","provider-portal/patient-wallet/patient-monitoring.spec.ts","Patient Wallet - Patient Monitoring","","","should display New button and Text Message button",""
"failed","Mon Aug 24 08:34:51 UTC 2026","Mon Aug 24 08:35:22 UTC 2026","31584","","provider-portal/monitoring/billing-enrollments-paid-status-workflow.spec.ts","Billing > Enrollments — paid-status workflow","","","update paid status E2E — clicking Update + marking as ""Unpaid"" flips row and surfaces success toast",""
